지역,업소명,사업자명(대표자),소재지,총면적(제곱미터) ,홀수(홀),세부종류
경기,한양컨트리클럽,이승호,고양시 덕양구 고양대로1643번길 164,1441066,36,회원제
경기,뉴코리아 컨트리클럽,성하현,고양시 덕양구 신원2로 57,880053,18,회원제
경기,고양컨트리클럽,김기자,고양시 덕양구 흥도로 304-23,295598,9,대중제
경기,1.2.3,한제걸,고양시 덕양구 통일로 43-168,334432,6,대중제
경기,올림픽 골프장,이관식,고양시 덕양구 혜음로 301,313921,9,대중제
경기,일산스프링힐스 컨트리클럽,김명두,고양시 일산동구 산황로 108,230094,9,대중제
경기,한양컨트리클럽 대중제 9홀 골프장,"홍순직,이승호",고양시 덕양구 고양대로 1591,351587,9,대중제
경기,한원CC,김인식,용인시 처인구 남사읍 전나무골길 2번길 94,1024961,27,회원제
경기,양지파인CC,임태주,용인시 처인구 양지면 남평로 112,1012580,27,대중제
경기,수원CC,"김효석,김우현",용인시 기흥구 중부대로 495,1480410,36,회원제
경기,플라자CC,김형조,용인시 처인구 남사읍 봉무로 153번길 79,1899082,36,회원제
경기,태광CC,전용인,용인시 기흥구 흥덕4로 77,1088973,27,회원제
경기,태광CC,전용인,용인시 기흥구 흥덕4로 77,391788,9,대중제
경기,한성CC,전영자,용인시 기흥구 구교동로 151,1411398,27,회원제
경기,골드CC,이응로,용인시 기흥구 기흥단지로 398,1366197,36,회원제
경기,88CC,국가보훈처장,용인시 기흥구 석성로 521번길 169,2814762,36,회원제
경기,레이크사이드CC,문지태,용인시 처인구 모현읍 능원로 181,3198002,36,대중제
경기,레이크사이드CC,문지태,용인시 처인구 모현읍 능원로 181,1001737,18,회원제
경기,남부CC,정원석,용인시 기흥구 사은로 163,964521,18,회원제
경기,신원CC,이소미,용인시 이동읍 이원로 225,1721377,27,회원제
경기,은화삼CC,공비상,용인시 처인구 백옥대로 860-38,946086,18,회원제
경기,아시아나CC,김성일,용인시 처인구 양지면 양대로 290,2230679,36,회원제
경기,블루원용인CC,윤재원,용인시 처인구 원삼면 보개원삼로 1534번길 40,1079798,18,회원제
경기,블루원용인CC,윤재원,용인시 처인구 원삼면 보개원삼로 1534번길 40,439688,9,대중제
경기,코리아CC,이응로,용인시 처인구 이동읍 기흥단지로 579,1351017,27,회원제
경기,코리아퍼브릭,김영만,용인시 기흥구 기흥단지로 224,229181,9,대중제
경기,지산CC,이호재,용인시 처인구 원삼면 죽양대로 2000번길 60,1527293,27,회원제
경기,지산CC,이호재,용인시 처인구 원삼면 죽양대로 2100번길 60,184356,9,대중제
경기,화산CC,정수련,용인시 처인구 이동읍 화산로 239,1039272,18,회원제
경기,한림용인CC,이병진,용인시 처인구 남사읍 경기동로 628,1584819,27,대중제
경기,글렌로스골프클럽,한승환,용인시 처인구 포곡읍 에버랜드로 562번길 69,465916,9,대중제
경기,용인CC,조의제,용인시 처인구 백암면 황새울로 255,221886,9,대중제
경기,석천CC,박범준,용인시 처인구 백암면 황새울로 255,241685,9,대중제
경기,써닝포인트CC,임노원,용인시 처인구 백암면 고안로 51번길 205,1032853,18,대중제
경기,해솔리아CC,오갑균,용인시 처인구 이동읍 백자로 297번길 74,1666810,27,대중제
경기,세현CC,서남종,용인시 처인구 이동읍 백자로 450,997843,18,대중제
경기,남서울컨트리클럽,(주)경원건설정철승,성남시 분당구 안양판교로1201번길 1201,968466,18,회원제
